#total bonded nonbonded
149000 9845.72 12405.2 -2559.43
150000 9836.99 12378.3 -2541.3
151000 9864.95 12423.8 -2558.87
152000 9842.89 12406 -2563.14
153000 9892.88 12389 -2496.15
154000 9825.89 12400.2 -2574.31
155000 9866.1 12457.2 -2591.12
156000 9828.78 12428.9 -2600.12
157000 9814.52 12410 -2595.45
158000 9832.41 12415.2 -2582.81
159000 9836 12407.7 -2571.75
160000 9775.33 12446.6 -2671.25
161000 9798.94 12419.4 -2620.48
162000 9824.7 12431.7 -2607.04
163000 9800.83 12381.1 -2580.29
164000 9826.64 12400 -2573.4
165000 9816.87 12414.1 -2597.24
166000 9823.09 12410 -2586.95
167000 9902.17 12431.9 -2529.77
168000 9903.87 12433.6 -2529.77
169000 9791.66 12470.4 -2678.78
170000 9902.53 12410 -2507.5
171000 9814.42 12403.1 -2588.71
172000 9780.18 12404.8 -2624.65
173000 9803 12425.8 -2622.76
174000 9791.76 12398.7 -2606.94
175000 9764.15 12362.8 -2598.68
176000 9774.76 12407.6 -2632.87
177000 9815.21 12414 -2598.76
178000 9741.82 12411.7 -2669.86
179000 9821.35 12419.2 -2597.9
180000 9767.51 12402.9 -2635.39
181000 9751.84 12428.4 -2676.52
182000 9764.26 12444.5 -2680.23
183000 9861.04 12420.6 -2559.57
184000 9752.44 12405.5 -2653.11
185000 9838.1 12424.3 -2586.18
186000 9751.86 12365 -2613.18
187000 9792.28 12438.3 -2645.98
188000 9845.93 12395.2 -2549.25
189000 9810.37 12407.3 -2596.92
190000 9714.02 12354.4 -2640.41
191000 9799.91 12411.1 -2611.19
192000 9838.73 12451.5 -2612.72
193000 9854.71 12390.6 -2535.86
194000 9831.97 12456.7 -2624.68
195000 9810.12 12387.7 -2577.55
196000 9809.38 12409.2 -2599.78
197000 9834.36 12455.5 -2621.11
198000 9797.77 12390.2 -2592.42
199000 9835.54 12433.1 -2597.55
200000 9884.34 12444.8 -2560.44
