# z rho/M
65.3895 0.134117
65.8895 0.129959
66.3895 0.131258
66.8895 0.132558
67.3895 0.131518
67.8895 0.132558
68.3895 0.1258
68.8895 0.115923
69.3895 0.12398
69.8895 0.129179
70.3895 0.133337
70.8895 0.130738
71.3895 0.138536
71.8895 0.122161
72.3895 0.114364
72.8895 0.120342
73.3895 0.123201
73.8895 0.1245
74.3895 0.140875
74.8895 0.136197
75.3895 0.12502
75.8895 0.12424
76.3895 0.135677
76.8895 0.139056
77.3895 0.130478
77.8895 0.140095
78.3895 0.129699
78.8895 0.120861
79.3895 0.107086
79.8895 0.112544
80.3895 0.0979888
80.8895 0.0868123
81.3895 0.081614
81.8895 0.0678384
82.3895 0.0667987
82.8895 0.0582214
83.3895 0.0491243
83.8895 0.0465252
