100 84.6778 84.6778
200 84.611 84.6444
300 84.5571 84.6153
400 84.8418 84.6719
500 84.5469 84.6469
600 85.4605 84.7825
700 85.6232 84.9026
800 86.4167 85.0919
900 87.7823 85.3908
1000 87.6293 85.6147
1100 87.6446 85.7992
1200 87.1891 85.915
1300 87.3959 86.0289
1400 88.0231 86.1714
1500 87.7988 86.2799
1600 88.1237 86.3951
1700 87.3532 86.4515
1800 87.0189 86.483
1900 87.6754 86.5457
2000 87.5287 86.5949
2100 87.4476 86.6355
2200 87.7536 86.6863
2300 87.3926 86.717
2400 87.2906 86.7409
2500 87.7418 86.781
2600 87.951 86.826
2700 89.2866 86.9171
2800 88.0691 86.9582
2900 88.649 87.0166
3000 88.9139 87.0798
3100 90.031 87.175
3200 89.8038 87.2571
3300 90.1142 87.3437
3400 89.5824 87.4096
3500 89.734 87.476
3600 89.7003 87.5378
3700 89.7034 87.5963
3800 89.8078 87.6545
3900 90.3852 87.7245
4000 90.4025 87.7915
4100 90.6028 87.86
4200 90.6925 87.9275
4300 90.965 87.9981
4400 90.5707 88.0566
4500 90.5618 88.1123
4600 90.6981 88.1685
4700 90.5767 88.2197
4800 90.4496 88.2662
4900 90.1215 88.304
5000 89.7945 88.3338
5100 89.1113 88.3491
5200 89.9189 88.3793
5300 90.1737 88.4131
5400 89.9754 88.4421
5500 89.6243 88.4635
5600 89.6108 88.484
5700 89.783 88.5068
5800 90.7253 88.5451
5900 90.6153 88.5802
6000 91.0628 88.6215
6100 90.2304 88.6479
6200 91.1491 88.6883
6300 91.3591 88.7307
6400 90.8853 88.7643
6500 91.1441 88.8009
6600 91.561 88.8427
6700 91.6208 88.8842
6800 91.8826 88.9283
6900 91.7056 88.9686
7000 92.008 89.012
7100 92.4121 89.0599
7200 91.7131 89.0967
7300 92.2041 89.1393
7400 91.7972 89.1752
7500 92.0073 89.213
7600 91.6934 89.2456
7700 92.189 89.2838
7800 91.9552 89.3181
7900 91.6892 89.3481
8000 91.9186 89.3802
8100 92.6464 89.4205
8200 92.3658 89.4565
8300 92.1364 89.4887
8400 92.7299 89.5273
8500 93.2564 89.5712
8600 93.0213 89.6113
8700 92.3453 89.6427
8800 91.7734 89.667
8900 91.8222 89.6912
9000 91.9362 89.7161
9100 92.3484 89.745
9200 92.5066 89.7751
9300 92.3256 89.8025
9400 92.8379 89.8348
9500 92.9448 89.8675
9600 92.7617 89.8977
9700 92.9075 89.9287
9800 93.288 89.963
9900 93.4685 89.9984
10000 93.1407 90.0298
10100 93.2868 90.0621
10200 93.0023 90.0909
10300 93.508 90.1241
10400 92.8396 90.1502
10500 92.6448 90.1739
10600 92.8489 90.1992
10700 93.2986 90.2281
10800 93.816 90.2613
10900 93.4644 90.2907
11000 93.0461 90.3158
11100 92.9325 90.3394
11200 92.5394 90.359
11300 92.4477 90.3775
11400 92.2663 90.3941
11500 92.3693 90.4112
11600 92.5187 90.4294
11700 92.6922 90.4487
11800 92.3636 90.465
11900 92.6622 90.4834
12000 92.8864 90.5035
